latine,gallice,genre
Aemilia/Aemiliam,Aemilia/,f
Aemilius/Aemilium,Aemilius/,m
Aulus/Aulum,Aulus/,m
Eupalamus/Eupalamum,Eupalamus/,m
Iulia/Iuliam,Iulia/,f
Lucia/Luciam,Lucia/,f
Lucretia/Lucretiam,Lucretia/,f
Marcus/Marcum,Marcus/,m
Publius/Publium,Publius/,m
Sempronia/Semproniam,Sempronia/,f
